TiArchiveSeries0001;Zanella;14/03/2011;20;/
TiArchiveSeries0002;Zanella;15/03/2011;67;/
TiArchiveSeries0003;Zanella;16/03/2011;6;/
TiArchiveSeries0004;Zanella;18/03/2011;5;/
TiArchiveSeries0005;Zanella;21/03/2011;71;/
TiArchiveSeries0006;Zanella;22/03/2011;95;/
TiArchiveSeries0007;Zanella;23/03/2011;96;/
TiArchiveSeries0008;Zanella;24/03/2011;46;/
TiArchiveSeries0009;Zanella;25/03/2011;4;/
TiArchiveSeries0010;Zanella;28/03/2011;50;/
TiArchiveSeries0011;Zanella;29/03/2011;68;/
TiArchiveSeries0012;Zanella;30/03/2011;9;/
TiArchiveSeries0013;Zanella;31/03/2011;15;/
TiArchiveSeries0014;Zanella;01/04/2011;13;/
TiArchiveSeries0015;Zanella;04/04/2011;35;/
TiArchiveSeries0016;Zanella;05/04/2011;32;/
TiArchiveSeries0017;Zanella;06/04/2011;77;/
TiArchiveSeries0018;Zanella;07/04/2011;8;/
TiArchiveSeries0019;Zanella;08/04/2011;5;/
TiArchiveSeries0020;Migliardi;11/04/2011;60;/
TiArchiveSeries0021;Zanella;12/04/2011;62;/
TiArchiveSeries0022;Zanella;16/04/2011;1658;ARCHIVE(RnaL-P2)
TiArchiveSeries0023;Zanella;19/04/2011;89;/
TiArchiveSeries0024;Zanella;20/04/2011;58;/
TiArchiveSeries0025;Zanella;21/04/2011;6;/
TiArchiveSeries0026;Zanella;23/04/2011;441;ARCHIVE(RnaL-ACUTI)
TiArchiveSeries0027;Migliardi;26/04/2011;35;/
TiArchiveSeries0028;Zanella;27/04/2011;54;/
TiArchiveSeries0029;Zanella;28/04/2011;24;/
TiArchiveSeries0030;Zanella;30/04/2011;503;ARCHIVE(RnaL-P1)
TiArchiveSeries0031;Zanella;03/05/2011;115;/
TiArchiveSeries0032;Zanella;04/05/2011;33;/
TiArchiveSeries0033;Zanella;05/05/2011;11;/
TiArchiveSeries0034;Zanella;06/05/2011;9;/
TiArchiveSeries0035;Zanella;07/05/2011;766;ARCHIVE(RnaL-P0)
TiArchiveSeries0036;Zanella;09/05/2011;80;/
TiArchiveSeries0037;Zanella;10/05/2011;55;/
TiArchiveSeries0038;Zanella;11/05/2011;77;/
TiArchiveSeries0039;Migliardi;12/05/2011;28;/
TiArchiveSeries0040;Zanella;13/05/2011;8;/
TiArchiveSeries0041;Zanella;14/05/2011;338;ARCHIVE(Vitali)
TiArchiveSeries0042;Zanella;15/05/2011;7;/
TiArchiveSeries0043;Migliardi;16/05/2011;27;/
TiArchiveSeries0044;Zanella;17/05/2011;86;/
TiArchiveSeries0045;Zanella;18/05/2011;22;/
TiArchiveSeries0046;Zanella;19/05/2011;19;/
TiArchiveSeries0047;Zanella;20/05/2011;3;/
TiArchiveSeries0048;Zanella;24/05/2011;67;/
TiArchiveSeries0049;Zanella;25/05/2011;2;/
TiArchiveSeries0050;Zanella;26/05/2011;2;/
TiArchiveSeries0051;Zanella;27/05/2011;2;/
TiArchiveSeries0052;Zanella;28/05/2011;32;ARCHIVE
TiArchiveSeries0053;Zanella;31/05/2011;38;/
TiArchiveSeries0054;Zanella;03/06/2011;11;/
TiArchiveSeries0055;Zanella;04/06/2011;1338;ARCHIVE(Sf -P2)
TiArchiveSeries0056;Migliardi;06/06/2011;4;/
TiArchiveSeries0057;Zanella;07/06/2011;70;/
TiArchiveSeries0058;Zanella;08/06/2011;29;/
TiArchiveSeries0059;Zanella;09/06/2011;10;/
TiArchiveSeries0060;Zanella;10/06/2011;38;/
TiArchiveSeries0061;Zanella;11/06/2011;827;ARCHIVE(RnaL-CRONICI)
TiArchiveSeries0062;Zanella;14/06/2011;59;/
TiArchiveSeries0063;Zanella;16/06/2011;2;/
TiArchiveSeries0064;Migliardi;17/06/2011;6;/
TiArchiveSeries0065;Zanella;18/06/2011;38;ARCHIVE(Position)
TiArchiveSeries0066;Migliardi;20/06/2011;71;/
TiArchiveSeries0067;Zanella;21/06/2011;7;/
TiArchiveSeries0068;Zanella;22/06/2011;2;/
TiArchiveSeries0069;Zanella;23/06/2011;2;/
TiArchiveSeries0070;Zanella;26/06/2011;9;ARCHIVE
TiArchiveSeries0071;Zanella;27/06/2011;577;ARCHIVE(Sf-Cronici)
TiArchiveSeries0072;Migliardi;27/06/2011;4;/
TiArchiveSeries0073;Zanella;28/06/2011;980;ARCHIVE(General)
TiArchiveSeries0074;Zanella;29/06/2011;419;ARCHIVE(Sf-Acuti)
TiArchiveSeries0075;Migliardi;29/06/2011;10;/
TiArchiveSeries0076;Zanella;30/06/2011;42;/
TiArchiveSeries0077;Zanella;01/07/2011;6;ARCHIVE
TiArchiveSeries0078;Migliardi;01/07/2011;2;/
TiArchiveSeries0079;Migliardi;04/07/2011;3;/
TiArchiveSeries0080;Zanella;05/07/2011;75;/
TiArchiveSeries0081;Zanella;06/07/2011;46;/
TiArchiveSeries0082;Migliardi;07/07/2011;3;/
TiArchiveSeries0083;Zanella;08/07/2011;2;/
TiArchiveSeries0084;Zanella;12/07/2011;5;/
TiArchiveSeries0085;Migliardi;13/07/2011;3;/
TiArchiveSeries0086;Migliardi;14/07/2011;3;/
TiArchiveSeries0087;Migliardi;15/07/2011;8;/
TiArchiveSeries0088;Zanella;19/07/2011;79;/
TiArchiveSeries0089;Migliardi;20/07/2011;7;/
TiArchiveSeries0090;Zanella;21/07/2011;18;/
TiArchiveSeries0091;Migliardi;22/07/2011;2;/
TiArchiveSeries0092;Zanella;25/07/2011;5;/
TiArchiveSeries0093;Zanella;26/07/2011;46;/
TiArchiveSeries0094;Zanella;27/07/2011;55;/
TiArchiveSeries0095;Zanella;28/07/2011;3;/
TiArchiveSeries0096;Zanella;01/08/2011;5;/
TiArchiveSeries0097;Zanella;02/08/2011;15;/
TiArchiveSeries0098;Zanella;03/08/2011;50;/
TiArchiveSeries0099;Zanella;04/08/2011;6;/
TiArchiveSeries0100;Zanella;05/08/2011;11;/
TiArchiveSeries0101;Zanella;08/08/2011;4;/
TiArchiveSeries0102;Zanella;09/08/2011;10;ARCHIVE
TiArchiveSeries0103;Zanella;09/08/2011;4;/
TiArchiveSeries0104;Zanella;09/08/2011;5;ARCHIVE (for derivates)
TiArchiveSeries0105;Zanella;10/08/2011;121;/
TiArchiveSeries0106;Zanella;11/08/2011;44;/
TiArchiveSeries0107;Migliardi;16/08/2011;10;/
TiArchiveSeries0108;Migliardi;17/08/2011;70;/
TiArchiveSeries0109;Migliardi;18/08/2011;69;/
TiArchiveSeries0110;Migliardi;19/08/2011;24;/
TiArchiveSeries0111;Migliardi;23/08/2011;58;/
TiArchiveSeries0112;Migliardi;24/08/2011;61;/
TiArchiveSeries0113;Migliardi;25/08/2011;61;/
TiArchiveSeries0114;Migliardi;29/08/2011;3;/
TiArchiveSeries0115;Migliardi;30/08/2011;16;/
TiArchiveSeries0116;Migliardi;31/08/2011;16;/
TiArchiveSeries0117;Migliardi;01/09/2011;21;/
TiArchiveSeries0118;Migliardi;02/09/2011;2;/
TiArchiveSeries0119;Migliardi;06/09/2011;47;/
TiArchiveSeries0120;Migliardi;07/09/2011;157;/
TiArchiveSeries0121;Migliardi;08/09/2011;82;/
TiArchiveSeries0122;Migliardi;09/09/2011;43;/
TiArchiveSeries0123;Migliardi;12/09/2011;39;/
TiArchiveSeries0124;Migliardi;13/09/2011;47;/
TiArchiveSeries0125;Migliardi;14/09/2011;140;/
TiArchiveSeries0126;Migliardi;16/09/2011;8;/
TiArchiveSeries0127;Migliardi;19/09/2011;5;/
TiArchiveSeries0128;Migliardi;20/09/2011;93;/
TiArchiveSeries0129;Migliardi;21/09/2011;51;/
TiArchiveSeries0130;Migliardi;23/09/2011;5;/
TiArchiveSeries0131;Migliardi;27/09/2011;24;/
TiArchiveSeries0132;Migliardi;28/09/2011;48;/
TiArchiveSeries0133;Migliardi;29/09/2011;49;/
TiArchiveSeries0134;Migliardi;04/10/2011;81;/
TiArchiveSeries0135;Migliardi;05/10/2011;22;/
TiArchiveSeries0136;Migliardi;06/10/2011;54;/
TiArchiveSeries0137;Migliardi;10/10/2011;2;/
TiArchiveSeries0138;Migliardi;11/10/2011;98;/
TiArchiveSeries0139;Migliardi;12/10/2011;35;/
TiArchiveSeries0140;Migliardi;13/10/2011;2;/
TiArchiveSeries0141;Migliardi;14/10/2011;14;/
TiArchiveSeries0142;Migliardi;18/10/2011;90;/
TiArchiveSeries0143;Migliardi;19/10/2011;231;/
TiArchiveSeries0144;Migliardi;21/10/2011;32;/
TiArchiveSeries0145;Migliardi;25/10/2011;148;/
TiArchiveSeries0146;Migliardi;26/10/2011;124;/
TiArchiveSeries0147;Migliardi;27/10/2011;104;/
TiArchiveSeries0148;Migliardi;28/10/2011;40;/
TiArchiveSeries0149;Migliardi;01/11/2011;18;/
TiArchiveSeries0150;Migliardi;02/11/2011;47;/
TiArchiveSeries0151;Migliardi;03/11/2011;17;/
TiArchiveSeries0152;Migliardi;08/11/2011;33;/
TiArchiveSeries0153;Migliardi;09/11/2011;59;/
TiArchiveSeries0154;Migliardi;10/11/2011;7;/
TiArchiveSeries0155;Migliardi;11/11/2011;61;/
TiArchiveSeries0156;Migliardi;14/11/2011;28;/
TiArchiveSeries0157;Migliardi;15/11/2011;134;/
TiArchiveSeries0158;Migliardi;16/11/2011;164;/
TiArchiveSeries0159;Migliardi;17/11/2011;38;/
TiArchiveSeries0160;Migliardi;18/11/2011;61;/
TiArchiveSeries0161;Migliardi;23/11/2011;112;/
TiArchiveSeries0162;Migliardi;24/11/2011;16;/
TiArchiveSeries0163;Migliardi;25/11/2011;50;/
TiArchiveSeries0164;Migliardi;29/11/2011;98;/
TiArchiveSeries0165;Migliardi;30/11/2011;105;/
TiArchiveSeries0166;Migliardi;01/12/2011;40;/
TiArchiveSeries0167;Migliardi;02/12/2011;15;/
TiArchiveSeries0168;Migliardi;06/12/2011;66;/
TiArchiveSeries0169;Migliardi;13/12/2011;111;/
TiArchiveSeries0170;Migliardi;14/12/2011;109;/
TiArchiveSeries0171;Migliardi;15/12/2011;88;/
TiArchiveSeries0172;Migliardi;16/12/2011;62;/
TiArchiveSeries0173;Migliardi;20/12/2011;90;/
TiArchiveSeries0174;Migliardi;21/12/2011;61;/
TiArchiveSeries0175;Migliardi;22/12/2011;107;/
TiArchiveSeries0176;Migliardi;27/12/2011;129;/
TiArchiveSeries0177;Migliardi;28/12/2011;151;/
TiArchiveSeries0178;Migliardi;29/12/2011;50;/
TiArchiveSeries0179;Migliardi;30/12/2011;182;/
TiArchiveSeries0180;Migliardi;03/01/2012;34;/
TiArchiveSeries0181;Migliardi;04/01/2012;89;/
TiArchiveSeries0182;Migliardi;05/01/2012;79;/
TiArchiveSeries0183;Migliardi;11/01/2012;134;/
TiArchiveSeries0184;Migliardi;12/01/2012;168;/
TiArchiveSeries0185;Migliardi;17/01/2012;100;/
TiArchiveSeries0186;Migliardi;18/01/2012;87;/
TiArchiveSeries0187;Migliardi;19/01/2012;54;/
TiArchiveSeries0188;Migliardi;24/01/2012;114;/
TiArchiveSeries0189;Migliardi;25/01/2012;191;/
TiArchiveSeries0190;Migliardi;26/01/2012;10;/
TiArchiveSeries0191;Migliardi;27/01/2012;1436;ARCHIVE AZOTO
TiArchiveSeries0192;Migliardi;31/01/2012;36;/
TiArchiveSeries0193;Migliardi;01/02/2012;5;/
TiArchiveSeries0194;Migliardi;07/02/2012;162;/
TiArchiveSeries0195;Migliardi;08/02/2012;115;/
TiArchiveSeries0196;Migliardi;09/02/2012;51;/
TiArchiveSeries0197;Migliardi;10/02/2012;49;/
TiArchiveSeries0198;Migliardi;14/02/2012;35;/
TiArchiveSeries0199;Migliardi;15/02/2012;40;/
TiArchiveSeries0200;Migliardi;16/02/2012;6;/
TiArchiveSeries0201;Migliardi;21/02/2012;81;/
TiArchiveSeries0202;Migliardi;22/02/2012;59;/
TiArchiveSeries0203;Migliardi;23/02/2012;104;/
TiArchiveSeries0204;Migliardi;24/02/2012;68;/
TiArchiveSeries0205;Migliardi;28/02/2012;39;/
TiArchiveSeries0206;Migliardi;29/02/2012;112;/
TiArchiveSeries0207;Migliardi;01/03/2012;14;/
TiArchiveSeries0208;Migliardi;02/03/2012;2;/
TiArchiveSeries0209;Zanella;06/03/2012;3;/
TiArchiveSeries0210;Zanella;07/03/2012;;/
TiArchiveSeries0211;Zanella;08/03/2012;;/
TiArchiveSeries0212;Zanella;09/03/2012;;/
TiArchiveSeries0213;Zanella;13/03/2012;;/
TiArchiveSeries0214;Zanella;14/03/2012;;/
TiArchiveSeries0215;Zanella;15/03/2012;;/
