sample	to_germline	to_tumor	to_case	to_all
1-CRC0508LMH0000000000D01000-022-A1	{CRC0508NLH0000000000D01000-022-B1:2 }	{CRC0508LMH0000000000D01000-022-A1:0 CRC0508LMX0A01001TUMD01000-022-G10:0 CRC0508LMX0A02002TUMD01000-033-D1:0 }	{CRC0508LMH0000000000D01000-022-A1:0 CRC0508LMX0A01001TUMD01000-022-G10:0 CRC0508LMX0A02002TUMD01000-033-D1:0 }	
2-CRC0513NLH0000000000D01000-022-A2	{CRC0513NLH0000000000D01000-022-A2:0 }	{CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMH0000000000D01000-022-H1:0 CRC0513LMX0A01001TUMD01000-022-H9:0 }	{CRC0513NLH0000000000D01000-022-A2:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A01001TUMD01000-022-H9:0 CRC0513LMH0000000000D01000-022-H1:0 }	
3-CRC0477LMX0A01001TUMD01000-022-A3	{CRC0257NLH0000000000D01000-021-E11:0 CRC0477NLH0000000000D01000-020-H7:0 CRC0257NLH0000000000D01000-05-G10:0 CRC0477NLH0000000000D01000-019-H3:0 }	{CRC0477LMX0A02001TUMD01000-033-F3:0 CRC0257LMX0A03005TUMD01000-015-C1:0 CRC0477LMX0A01001TUMD05000-020-H8:0 CRC0257LMX0A03003TUMD01000-015-F1:0 CRC0257LMH0000000000D01000-05-H3:0 CRC0477LMX0A07032TUMD01000-035-C3:0 CRC0477LMX0A04004TUMD01000-033-A5:0 CRC0477LMH0000000000D01000-019-G3:0 CRC0477LMX0A05035TUMD01000-033-A12:0 CRC0257LMX0A03002TUMD01000-015-D1:0 CRC0477LMX0A01001TUMD01000-022-A3:0 CRC0477LMX0A05038TUMD01000-034-F1:0 CRC0257LMX0A01001TUMD01000-012-B4:0 CRC0477LMX0A05039TUMD01000-033-B12:0 CRC0477LMX0A07010TUMD01000-035-B3:0 CRC0477LMX0A04006TUMD01000-033-H4:0 CRC0257LMX0A02004TUMD01000-013-E2:0 }	{CRC0477LMX0A02001TUMD01000-033-F3:0 CRC0477NLH0000000000D01000-020-H7:0 CRC0477LMX0A01001TUMD05000-020-H8:0 CRC0477LMX0A04004TUMD01000-033-A5:0 CRC0477LMH0000000000D01000-019-G3:0 CRC0477LMX0A05035TUMD01000-033-A12:0 CRC0477LMX0A07010TUMD01000-035-B3:0 CRC0477LMX0A01001TUMD01000-022-A3:0 CRC0477LMX0A04006TUMD01000-033-H4:0 CRC0477LMX0A07032TUMD01000-035-C3:0 CRC0477LMX0A05039TUMD01000-033-B12:0 CRC0477LMX0A05038TUMD01000-034-F1:0 CRC0477NLH0000000000D01000-019-H3:0 }	
4-CRC0514NMH0000000000D01000-022-A4	{CRC0514NMH0000000000D01000-022-A4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 }	{CRC0514PRH0000000000D01000-022-B4:0 CRC0514NMH0000000000D01000-022-A4:0 }	
5-CRC0518NLH0000000000D01000-022-A5	{CRC0518NLH0000000000D01000-022-A5:0 }	{CRC0518LMH0000000000D01000-022-H4:1 CRC0709PRH0000000000D01000-036-A10:1 }	{CRC0518NLH0000000000D01000-022-A5:0 }	
6-CRC0481PRX0A01001TUMD01000-022-A6	{CRC0481NLH0000000000D01000-019-A5:2 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	{CRC0481LMX0A01001TUMD01000-022-C3:0 CRC0481PRX0A01001TUMD01000-022-A6:0 }	
7-CRC0468LMX0B01001TUMD01000-022-A7	{CRC0468NLH0000000000D01000-018-F12:1 CRC0468NMH0000000000D01000-018-E4:1 }	{CRC0468LMX0B03004TUMD01000-030-A8:0 CRC0468LMX0B01001TUMD01000-022-A7:0 CRC0468LMX0B03012TUMD01000-032-B11:0 CRC0468LMX0A02001TUMD01000-036-H6:0 CRC0468LMX0A01001TUMD01000-024-H7:0 CRC0468LMX0B02004TUMD01000-033-E10:0 CRC0468PRH0000000000D01000-018-G12:0 }	{CRC0468LMX0B03004TUMD01000-030-A8:0 CRC0468LMX0B01001TUMD01000-022-A7:0 CRC0468LMX0B03012TUMD01000-032-B11:0 CRC0468LMX0A02001TUMD01000-036-H6:0 CRC0468LMX0A01001TUMD01000-024-H7:0 CRC0468LMX0B02004TUMD01000-033-E10:0 CRC0468PRH0000000000D01000-018-G12:0 }	
8-CRC0502LMX0A01001TUMD01000-022-A8	{CRC0021NLH0000000000D01000-03-A5:2 CRC0502NLH0000000000D01000-024-G4:2 }	{CRC0502LMX0A01001TUMD01000-022-A8:0 CRC0502LMX0B01001TUMD01000-026-F10:0 CRC0502LMX0A02004TUMD01000-032-C5:0 CRC0502LMH0000000000D01000-024-F4:0 CRC0502LMX0B02004TUMD01000-032-D5:0 }	{CRC0502LMX0A01001TUMD01000-022-A8:0 CRC0502LMX0B01001TUMD01000-026-F10:0 CRC0502LMX0A02004TUMD01000-032-C5:0 CRC0502LMH0000000000D01000-024-F4:0 CRC0502LMX0B02004TUMD01000-032-D5:0 }	
9-CRC0525NLH0000000000D01000-022-A9	{CRC0525NLH0000000000D01000-022-A9:0 CRC0539NLH0000000000D01000-023-C5:0 }	{CRC0525LMH0000000000D01000-022-H8:0 }	{CRC0525NLH0000000000D01000-022-A9:0 CRC0525LMH0000000000D01000-022-H8:0 }	
10-CRC0513LMX0B01001TUMD01000-022-A10	{CRC0513NLH0000000000D01000-022-A2:0 }	{CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMH0000000000D01000-022-H1:0 CRC0513LMX0A01001TUMD01000-022-H9:0 }	{CRC0513NLH0000000000D01000-022-A2:0 CRC0513LMX0A02001TUMD01000-033-F1:0 CRC0513LMX0B01001TUMD01000-022-A10:0 CRC0513LMX0A01001TUMD01000-022-H9:0 CRC0513LMH0000000000D01000-022-H1:0 }	
