Father Container;Type;Barcode;Position;Geometry
X001;Box 81;RnaLaterAcuti1;A1;9x9
X001;Box 81;RnaLaterAcuti2;B1;9x9
X001;Box 81;RnaLaterAcuti3;C1;9x9
X001;Box 81;RnaLaterAcuti4;D1;9x9
X001;Box 81;RnaLaterAcuti5;A2;9x9
X001;Box 81;RnaLaterAcuti6;B2;9x9
X001;Box 81;RnaLaterAcuti7;C2;9x9
X002;Box 81;RnaLaterCronici1;A1;9x9
X002;Box 81;RnaLaterCronici2;B1;9x9
X002;Box 81;RnaLaterCronici3;C1;9x9
X002;Box 81;RnaLaterCronici4;D1;9x9
X002;Box 81;RnaLaterCronici5;A2;9x9
X002;Box 81;RnaLaterCronici6;B2;9x9
X002;Box 81;RnaLaterCronici7;C2;9x9
X002;Box 81;RnaLaterCronici8;D2;9x9
X002;Box 81;RnaLaterCronici9;A3;9x9
X002;Box 81;RnaLaterCronici10;B3;9x9
X002;Box 81;RnaLaterCronici11;C3;9x9
X002;Box 100;RnaLaterCronici12;D3;10x10
X003;Box 81;SnapFrozenCronici1;A1;9x9
X003;Box 81;SnapFrozenCronici2;B1;9x9
X003;Box 81;SnapFrozenCronici3;C1;9x9
X003;Box 81;SnapFrozenCronici4;D1;9x9
X003;Box 81;SnapFrozenCronici5;A2;9x9
X003;Box 81;SnapFrozenCronici6;B2;9x9
X003;Box 81;SnapFrozenCronici7;C2;9x9
X003;Box 81;SnapFrozenCronici8;D2;9x9
X003;Box 100;SnapFrozenCronici9;A3;10x10
X004;Box 81;SnapFrozenAcuti1;A1;9x9
X004;Box 81;SnapFrozenAcuti2;B1;9x9
X004;Box 81;SnapFrozenAcuti3;C1;9x9
X004;Box 81;SnapFrozenAcuti4;D1;9x9
X004;Box 81;SnapFrozenAcuti5;A2;9x9
X004;Box 81;SnapFrozenAcuti6;B2;9x9
X004;Box 100;SnapFrozenAcuti7;C2;10x10
X005;Box 81;RnaLaterP2_1;A1;9x9
X005;Box 81;RnaLaterP2_2;B1;9x9
X005;Box 81;RnaLaterP2_3;C1;9x9
X005;Box 81;RnaLaterP2_4;D1;9x9
X005;Box 81;RnaLaterP2_5;A2;9x9
X005;Box 81;RnaLaterP2_6;B2;9x9
X005;Box 81;RnaLaterP2_7;C2;9x9
X005;Box 81;RnaLaterP2_8;D2;9x9
X005;Box 81;RnaLaterP2_9;A3;9x9
X005;Box 81;RnaLaterP2_10;B3;9x9
X005;Box 81;RnaLaterP2_11;C3;9x9
X005;Box 81;RnaLaterP2_12;D3;9x9
X006;Box 81;RnaLaterP2_13;A1;9x9
X006;Box 81;RnaLaterP2_14;B1;9x9
X006;Box 81;RnaLaterP2_15;C1;9x9
X006;Box 81;RnaLaterP2_16;D1;9x9
X006;Box 81;RnaLaterP2_17;A2;9x9
X006;Box 81;RnaLaterP2_18;B2;9x9
X006;Box 81;RnaLaterP2_19;C2;9x9
X006;Box 81;RnaLaterP2_20;D2;9x9
X006;Box 81;RnaLaterP2_21;A3;9x9
X006;Box 81;RnaLaterP2_22;B3;9x9
X006;Box 100;RnaLaterP2_23;C3;10x10
X006;Box 100;RnaLaterP2_24;D3;10x10
X007;Box 81;SnapFrozenP2_1;A1;9x9
X007;Box 81;SnapFrozenP2_2;B1;9x9
X007;Box 81;SnapFrozenP2_3;C1;9x9
X007;Box 81;SnapFrozenP2_4;D1;9x9
X007;Box 81;SnapFrozenP2_5;A2;9x9
X007;Box 81;SnapFrozenP2_6;B2;9x9
X007;Box 81;SnapFrozenP2_7;C2;9x9
X007;Box 81;SnapFrozenP2_8;D2;9x9
X007;Box 81;SnapFrozenP2_9;A3;9x9
X007;Box 81;SnapFrozenP2_10;B3;9x9
X007;Box 81;SnapFrozenP2_11;C3;9x9
X007;Box 81;SnapFrozenP2_12;D3;9x9
X008;Box 81;SnapFrozenP2_13;A1;9x9
X008;Box 81;SnapFrozenP2_14;B1;9x9
