Father Container;Type;Barcode;Position;Geometry
C0001;PlateThermoStandard;LR00005835;A1;8x12
C0001;PlateThermoStandard;LR00005833;A2;8x12
C0001;PlateThermoStandard;LR00005832;A3;8x12
C0001;PlateThermoStandard;NU00120341;A4;8x12
C0001;PlateThermoStandard;NU00120318;A5;8x12
C0001;PlateThermoStandard;NU00120322;A6;8x12
C0002;PlateThermoStandard;NU00120324;A1;8x12
C0002;PlateThermoStandard;NU00122499;A2;8x12
C0002;PlateThermoStandard;NU00122520;A3;8x12
C0002;PlateThermoStandard;LR00005763;A4;8x12
C0002;PlateThermoStandard;LR00005770;A5;8x12
C0002;PlateThermoStandard;LR00005836;A6;8x12
C0003;PlateThermoStandard;NU00120373;A1;8x12
C0003;PlateThermoStandard;NU00120364;A2;8x12
C0003;PlateThermoStandard;NU00122490;A3;8x12
C0003;PlateThermoStandard;NU00120334;A4;8x12
C0003;PlateThermoStandard;NU00120326;A5;8x12
C0003;PlateThermoStandard;NU00120323;A6;8x12
C0004;PlateThermoStandard;NU00136025;A1;8x12
C0004;PlateThermoStandard;NU00136031;A2;8x12
C0004;PlateThermoStandard;NU00136030;A3;8x12
C0004;PlateThermoStandard;NU00122525;A4;8x12
C0004;PlateThermoStandard;NU00098233;A5;8x12
C0004;PlateThermoStandard;NU00122567;A6;8x12
C0005;PlateThermoStandard;NU00140265;A1;8x12
C0005;PlateThermoStandard;NU00122531;A2;8x12
C0005;PlateThermoStandard;NU00140272;A3;8x12
C0005;PlateThermoStandard;NU00136029;A4;8x12
C0005;PlateThermoStandard;NU00120360;A5;8x12
C0005;PlateThermoStandard;NU00120349;A6;8x12
C0006;PlateThermoStandard;NU00140267;A1;8x12
C0006;PlateThermoStandard;NU00140270;A2;8x12
C0006;PlateThermoStandard;NU00140264;A3;8x12
C0006;PlateThermoStandard;NU00140269;A4;8x12
C0006;PlateThermoStandard;NU00120348;A5;8x12
C0006;PlateThermoStandard;NU00140275;A6;8x12
C0007;PlateThermoStandard;NU00140255;A1;8x12
C0007;PlateThermoStandard;NU00140254;A2;8x12
C0007;PlateThermoStandard;NU00140253;A3;8x12
C0007;PlateThermoStandard;NU00140238;A4;8x12
C0007;PlateThermoStandard;NU00140716;A5;8x12
C0007;PlateThermoStandard;NU00140262;A6;8x12
C0008;PlateThermoStandard;NU00140535;A4;8x12
C0008;PlateThermoStandard;NU00140243;A5;8x12
C0008;PlateThermoStandard;NU00140536;A6;8x12
D0001;PlateThermoStandard;NU00120320;A1;8x12
D0001;PlateThermoStandard;nu00120337;A2;8x12
D0001;PlateThermoStandard;NU00122571;A3;8x12
D0001;PlateThermoStandard;lr00005834;A4;8x12
D0001;PlateThermoStandard;lr00005831;A5;8x12
D0001;PlateThermoStandard;nu00120340;A6;8x12
D0002;PlateThermoStandard;NU00120366;A1;8x12
D0002;PlateThermoStandard;NU00122516;A2;8x12
D0002;PlateThermoStandard;NU00120328;A3;8x12
D0002;PlateThermoStandard;NU00122518;A4;8x12
D0002;PlateThermoStandard;NU00120315;A5;8x12
D0002;PlateThermoStandard;NU00120316;A6;8x12
D0003;PlateThermoStandard;nu00120346;A1;8x12
D0003;PlateThermoStandard;nu00120354;A2;8x12
D0003;PlateThermoStandard;NU00120330;A3;8x12
D0003;PlateThermoStandard;NU00120370;A4;8x12
D0003;PlateThermoStandard;NU00120372;A5;8x12
D0003;PlateThermoStandard;NU00122521;A6;8x12
D0004;PlateThermoStandard;nu00140252;A1;8x12
D0004;PlateThermoStandard;nu00140244;A2;8x12
D0004;PlateThermoStandard;nu00140239;A3;8x12
D0004;PlateThermoStandard;nu00140527;A4;8x12
D0004;PlateThermoStandard;nu00140563;A5;8x12
D0004;PlateThermoStandard;NU00140274;A6;8x12
D0005;PlateThermoStandard;NU00140256;A1;8x12
D0005;PlateThermoStandard;NU00140653;A2;8x12
D0005;PlateThermoStandard;nu00140531;A3;8x12
D0005;PlateThermoStandard;nu00144984;A4;8x12
D0005;PlateThermoStandard;nu00140248;A5;8x12
D0005;PlateThermoStandard;XY00900006;A6;8x12
D0006;PlateThermoStandard;NU00140227;A5;8x12
D0006;PlateThermoStandard;NU00140651;A6;8x12
D0007;PlateThermoStandard;nu00140223;A3;8x12
