Father Container;Type;Barcode;Position;Geometry
-80C COC Sanyo03 4x4;Classic -80°C;X001;A1;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X002;A2;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X003;A3;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X004;A4;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X005;B1;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X006;B2;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X007;B3;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X008;B4;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X009;C2;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X010;C3;4x3
-80C COC Sanyo03 4x4;Classic -80°C;X011;C4;4x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y006;D1;3x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y005;D2;3x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y004;D3;3x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y003;C1;3x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y002;C2;3x3
-80C COC FIOCCHETTI01 4x3;Classic -80°C;Y001;A2;3x3
-196C N2 ROOM01;Classic -196°C 81/100;N001;TBD;13x1
-196C N2 ROOM01;Classic -196°C 81/100;N002;TBD;13x1
-196C N2 ROOM01;Classic -196°C 81/100;N003;TBD;13x1
-196C N2 ROOM01;Classic -196°C 81/100;N004;TBD;13x1
-196C N2 ROOM01;Classic -196°C 81/100;N005;TBD;13x1
-196C N2 ROOM01;Classic -196°C 25;V001;TBD;13x1
-196C N2 ROOM01;Classic -196°C 25;V002;TBD;13x1
-80C COC Sanyo04 28x4;Thermo -80°C;A0001;BA1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0002;BB1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0003;BC1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0004;BD1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0005;BE1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0006;BF1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0007;BG1;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0008;BA2;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0009;BB2;1x6
-80C COC Sanyo04 28x4;Thermo -80°C;A0010;BC2;1x6
