Rack: NU00120341
A01,NUEL555777
B01,NUEL555892
C01,NUEL556013
D01,NUEL556138
E01,NUEL556253
F01,NUEL556378
G01,NUEL556493
H01,NUEL556615
A02,NUEL555786
B02,NUEL555908
C02,NUEL556022
D02,NUEL556147
E02,NUEL556262
F02,NUEL556387
G02,NUEL556509
H02,NUEL556624
A03,NUEL555795
B03,NUEL555917
C03,NUEL556031
D03,NUEL556156
E03,NUEL556271
F03,NUEL556396
G03,NUEL556518
H03,NUEL556633
A04,NUEL555801
B04,NUEL555926
C04,NUEL556040
D04,NUEL556165
E04,NUEL556280
F04,NUEL556402
G04,NUEL556527
H04,NUEL556642
A05,NUEL555810
B05,NUEL555935
C05,NUEL556059
D05,NUEL556174
E05,NUEL556299
F05,NUEL556411
G05,NUEL556536
H05,NUEL556651
A06,NUEL555829
B06,NUEL555944
C06,NUEL556068
D06,NUEL556183
E06,NUEL556305
F06,NUEL556420
G06,NUEL556545
H06,NUEL556660
A07,NUEL555838
B07,NUEL555953
C07,NUEL556077
D07,NUEL556192
E07,NUEL556314
F07,NUEL556439
G07,NUEL556554
H07,NUEL556679
A08,NUEL555847
B08,NUEL555962
C08,NUEL556086
D08,NUEL556208
E08,NUEL556323
F08,NUEL556448
G08,NUEL556563
H08,NUEL556688
A09,NUEL555856
B09,NUEL555971
C09,NUEL556095
D09,NUEL556217
E09,NUEL556332
F09,NUEL556457
G09,NUEL556572
H09,NUEL556697
A10,NUEL555865
B10,NUEL555980
C10,NUEL556101
D10,NUEL556226
E10,NUEL556341
F10,NUEL556466
G10,NUEL556581
H10,NUEL556703
A11,NUEL555874
B11,NUEL555999
C11,NUEL556110
D11,NUEL556235
E11,NUEL556350
F11,NUEL556475
G11,NUEL556590
H11,NUEL556712
A12,NUEL555883
B12,NUEL556004
C12,NUEL556129
D12,NUEL556244
E12,NUEL556369
F12,NUEL556484
G12,NUEL556606
H12,NUEL556721
