Rack: nu00120340
A01,NUEL554811
B01,NUEL554936
C01,NUEL555050
D01,NUEL555175
E01,NUEL555290
F01,NUEL555412
G01,NUEL555537
H01,NUEL555652
A02,NUEL554820
B02,NUEL554945
C02,NUEL555069
D02,NUEL555184
E02,NUEL555306
F02,NUEL555421
G02,NUEL555546
H02,NUEL555661
A03,NUEL554839
B03,NUEL554954
C03,NUEL555078
D03,NUEL555193
E03,NUEL555315
F03,NUEL555430
G03,NUEL555555
H03,NUEL555670
A04,NUEL554848
B04,NUEL554963
C04,NUEL555087
D04,NUEL555209
E04,NUEL555324
F04,NUEL555449
G04,NUEL555564
H04,NUEL555689
A05,NUEL554857
B05,NUEL554972
C05,NUEL555096
D05,NUEL555218
E05,NUEL555333
F05,NUEL555458
G05,NUEL555573
H05,NUEL555698
A06,NUEL554866
B06,NUEL554981
C06,NUEL555102
D06,NUEL555227
E06,NUEL555342
F06,NUEL555467
G06,NUEL555582
H06,NUEL555704
A07,NUEL554875
B07,NUEL554990
C07,NUEL555111
D07,NUEL555236
E07,NUEL555351
F07,NUEL555476
G07,NUEL555591
H07,NUEL555713
A08,NUEL554884
B08,NUEL555005
C08,NUEL555120
D08,NUEL555245
E08,NUEL555360
F08,NUEL555485
G08,NUEL555607
H08,NUEL555722
A09,NUEL554893
B09,NUEL555014
C09,NUEL555139
D09,NUEL555254
E09,NUEL555379
F09,NUEL555494
G09,NUEL555616
H09,NUEL555731
A10,NUEL554909
B10,NUEL555023
C10,NUEL555148
D10,NUEL555263
E10,NUEL555388
F10,NUEL555500
G10,NUEL555625
H10,NUEL555740
A11,NUEL554918
B11,NUEL555032
C11,NUEL555157
D11,NUEL555272
E11,NUEL555397
F11,NUEL555519
G11,NUEL555634
H11,NUEL555759
A12,NUEL554927
B12,NUEL555041
C12,NUEL555166
D12,NUEL555281
E12,NUEL555403
F12,NUEL555528
G12,NUEL555643
H12,NUEL555768
